proteinA,proteinB
id_54,id_617
id_343,id_1277
id_2354,id_2309
id_2434,id_444
id_1784,id_2032
id_1363,id_2417
id_652,id_649
id_615,id_1370
id_1370,id_330
id_1524,id_1524
id_2507,id_1363
id_652,id_1569
id_652,id_1272
id_2465,id_1272
id_1178,id_28
id_1035,id_618
id_364,id_364
id_1793,id_1247
id_1793,id_734
id_1604,id_618
id_861,id_1043
id_1743,id_1743
id_486,id_486
id_1741,id_1741
id_2175,id_374
id_2499,id_2499
id_1393,id_1680
id_1744,id_520
id_2009,id_608
id_1293,id_1552
id_1674,id_1674
id_2481,id_2481
id_2454,id_1849
id_2454,id_2428
id_1424,id_960
id_1370,id_794
id_249,id_614
id_459,id_614
id_1744,id_1696
id_2118,id_2118
id_1293,id_2118
id_2118,id_2025
id_1552,id_2118
id_982,id_831
id_2133,id_1042
id_279,id_1942
id_2306,id_1942
id_1726,id_1708
id_1132,id_1147
id_1604,id_1271
id_1300,id_1300
id_850,id_850
id_1020,id_210
id_27,id_53
id_1567,id_2228
id_899,id_899
id_2420,id_562
id_2517,id_559
id_1369,id_2228
id_1135,id_1977
id_2300,id_2141
id_1653,id_662
id_1653,id_719
id_1132,id_1653
id_1293,id_1653
id_2149,id_1653
id_1944,id_83
id_1746,id_1047
id_270,id_1380
id_1976,id_533
id_863,id_684
id_1380,id_1190
id_1615,id_2419
id_344,id_39
id_575,id_575
id_1456,id_1306
id_365,id_2409
id_1922,id_412
id_365,id_567
id_1796,id_1796
id_1796,id_1752
id_1297,id_378
id_210,id_598
id_2247,id_1446
id_210,id_168
id_1604,id_1894
id_2513,id_2513
id_2513,id_721
id_2133,id_940
id_365,id_800
id_1112,id_174
id_759,id_1499
id_1499,id_1066
id_651,id_243
id_209,id_984
id_2146,id_542
id_247,id_1765
id_614,id_2023
id_882,id_882
id_821,id_594
id_1499,id_328
id_905,id_358
id_1380,id_771
id_2263,id_1367
id_1428,id_644
id_682,id_932
id_706,id_2276
id_1680,id_1409
id_520,id_2419
id_2009,id_1448
id_670,id_670
id_1552,id_1999
id_2391,id_1147
id_1147,id_1653
id_1147,id_1147
id_2149,id_1147
id_2182,id_2182
id_1566,id_2334
id_1852,id_437
id_857,id_1852
id_1139,id_1852
id_1852,id_172
id_1852,id_510
id_1852,id_543
id_2431,id_1852
id_1852,id_1756
id_1852,id_2241
id_1852,id_1391
id_1502,id_1546
id_1502,id_2308
id_1502,id_1558
id_1558,id_1937
id_1885,id_311
id_703,id_311
id_108,id_1109
id_108,id_2326
id_108,id_1940
id_1854,id_1064
id_652,id_1854
id_2307,id_1854
id_1854,id_2187
id_1854,id_1094
id_1854,id_2095
id_1854,id_1468
id_1854,id_473
id_1854,id_1036
id_1854,id_2206
id_1498,id_595
id_912,id_595
id_1115,id_1115
id_1115,id_264
id_1115,id_1137
id_921,id_103
id_921,id_78
id_1643,id_906
id_1512,id_1638
id_934,id_1512
id_1512,id_2234
id_1215,id_1215
id_179,id_1215
id_1215,id_878
id_951,id_1781
id_951,id_1836
id_951,id_1823
id_951,id_901
id_951,id_1378
id_2025,id_2025
id_1072,id_2025
id_2025,id_280
id_2025,id_1693
id_1072,id_764
id_1072,id_280
id_1072,id_1693
id_1305,id_1671
id_1305,id_1307
id_2208,id_1295
id_2176,id_766
id_1165,id_2442
id_1165,id_880
id_1165,id_1461
id_1613,id_441
id_1010,id_1055
id_1055,id_74
id_1055,id_1918
id_1443,id_81
id_1541,id_1541
id_1541,id_1236
id_1541,id_1489
id_1758,id_1192
id_2309,id_1758
id_269,id_1758
id_459,id_1010
id_1010,id_74
id_1010,id_1918
id_1612,id_694
id_2028,id_694
id_694,id_1308
id_694,id_1457
id_2324,id_1583
id_2519,id_2324
id_51,id_661
id_51,id_80
id_1457,id_102
id_1457,id_972
id_1457,id_1508
id_1457,id_2229
id_1457,id_1193
id_1457,id_1826
id_2291,id_2457
id_2418,id_50
id_1872,id_263
id_929,id_1317
id_1930,id_929
id_1275,id_2020
id_581,id_1275
id_269,id_624
id_2408,id_2156
id_891,id_2374
id_1939,id_1719
id_1612,id_162
id_1835,id_162
id_1214,id_162
id_106,id_162
id_1307,id_2484
id_1719,id_1968
id_1214,id_25
id_106,id_25
id_2272,id_1501
id_559,id_441
id_2013,id_441
id_534,id_441
id_536,id_441
id_441,id_1451
id_441,id_1998
id_441,id_2401
id_2129,id_441
id_1971,id_441
id_1197,id_253
id_1993,id_1151
id_1541,id_1993
id_1236,id_1993
id_1207,id_1993
id_1015,id_1639
id_2457,id_1783
id_2457,id_474
id_857,id_1634
id_1399,id_1634
id_376,id_307
id_2519,id_1227
id_2326,id_1227
id_1759,id_2519
id_1823,id_901
id_901,id_1101
id_79,id_901
id_5,id_901
id_1723,id_2098
id_2098,id_61
id_1723,id_1968
id_1968,id_61
id_1950,id_2314
id_858,id_1442
id_2370,id_1442
id_1442,id_2485
id_2125,id_1442
id_1190,id_1442
id_1834,id_1442
id_1925,id_1442
id_139,id_1442
id_2320,id_1442
id_1442,id_185
id_1045,id_1442
id_652,id_1442
id_2307,id_1442
id_2444,id_1442
id_2187,id_1442
id_1127,id_1442
id_366,id_1442
id_1757,id_1442
id_571,id_711
id_571,id_792
id_1275,id_327
id_2170,id_2170
id_95,id_52
id_1723,id_1606
id_1723,id_61
id_2017,id_1723
id_1723,id_1570
id_61,id_1606
id_2017,id_61
id_1570,id_61
id_2162,id_171
id_1806,id_1806
id_1831,id_226
id_1390,id_537
id_1451,id_1390
id_1233,id_1390
id_1998,id_1390
id_2186,id_2111
id_1054,id_1321
id_609,id_2361
id_609,id_726
id_1612,id_349
id_1870,id_1870
id_2188,id_2163
id_1663,id_1830
id_1131,id_914
id_1131,id_1405
id_25,id_363
id_25,id_820
id_1856,id_1856
id_1856,id_442
id_1966,id_194
id_1966,id_2383
id_1966,id_2045
id_1966,id_1159
id_1126,id_2392
id_511,id_2392
id_1358,id_1897
id_511,id_2509
id_675,id_2509
id_1534,id_2326
id_416,id_1897
id_2385,id_2385
id_1039,id_511
id_1039,id_2328
id_1039,id_1039
id_416,id_1039
id_1039,id_2
id_5,id_1823
id_5,id_828
id_912,id_229
id_726,id_862
id_1502,id_2371
id_2371,id_150
id_2371,id_2368
id_1558,id_2371
id_1189,id_2371
id_1546,id_2371
id_1317,id_1317
id_1408,id_1186
id_535,id_2058
id_2058,id_421
id_537,id_2058
id_2058,id_539
id_559,id_2058
id_2013,id_2058
id_534,id_2058
id_2058,id_236
id_1901,id_279
id_106,id_1862
id_332,id_2383
id_1534,id_2383
id_501,id_183
id_1948,id_834
id_2377,id_834
id_445,id_445
id_993,id_590
id_1862,id_1652
id_1498,id_1498
id_1498,id_2297
id_1498,id_641
id_1498,id_395
id_641,id_2297
id_395,id_2297
id_929,id_2297
id_929,id_641
id_2530,id_446
id_1080,id_446
id_446,id_446
id_1080,id_1440
id_1419,id_1997
id_1419,id_880
id_1612,id_1419
id_880,id_1461
id_880,id_423
id_46,id_1371
id_1371,id_1371
id_2008,id_1356
id_1651,id_176
id_25,id_176
id_711,id_179
id_179,id_792
id_1802,id_2224
id_1802,id_1893
id_1802,id_2053
id_1802,id_541
id_410,id_410
id_410,id_1459
id_410,id_2501
id_1501,id_1815
id_1630,id_2490
id_2053,id_640
id_2053,id_541
id_2053,id_2389
id_2053,id_129
id_1135,id_2053
id_2262,id_2053
id_2053,id_1903
id_2389,id_129
id_1692,id_1607
id_1356,id_383
id_935,id_383
id_383,id_539
id_383,id_1585
id_383,id_559
id_383,id_207
id_2013,id_383
id_99,id_383
id_1924,id_383
id_383,id_470
id_2123,id_997
id_2214,id_2214
id_711,id_726
id_726,id_792
id_726,id_726
id_2008,id_599
id_1137,id_602
id_144,id_144
id_1704,id_144
id_2383,id_2383
id_1798,id_2383
id_263,id_2383
id_438,id_2383
id_2383,id_2270
id_307,id_2383
id_1199,id_2383
id_1872,id_2383
id_1070,id_479
id_652,id_1276
id_2307,id_1276
id_2187,id_1276
id_935,id_421
id_935,id_1093
id_536,id_935
id_935,id_534
id_935,id_207
id_935,id_915
id_935,id_450
id_935,id_1462
id_263,id_442
id_263,id_1771
id_263,id_233
id_198,id_263
id_1112,id_263
id_74,id_1918
id_536,id_1093
id_934,id_1093
id_1924,id_1093
id_1093,id_1462
id_1093,id_1183
id_1093,id_2441
id_269,id_411
id_269,id_1099
id_1099,id_2177
id_411,id_1099
id_2177,id_325
id_2013,id_194
id_2013,id_1984
id_2013,id_336
id_2013,id_1408
id_2013,id_307
id_2013,id_573
id_2013,id_1924
id_2013,id_2441
id_2013,id_1462
id_99,id_1984
id_1831,id_1984
id_226,id_1984
id_1998,id_336
id_1998,id_307
id_1924,id_1998
id_2441,id_1998
id_1207,id_1635
id_1451,id_1632
id_194,id_1451
id_1451,id_336
id_539,id_1632
id_534,id_194
id_534,id_357
id_534,id_336
id_2524,id_1924
id_1924,id_573
id_1971,id_2401
id_1076,id_1640
id_381,id_1640
id_1640,id_1640
id_1901,id_2095
id_1901,id_1094
id_102,id_972
id_102,id_1508
id_102,id_2229
id_102,id_1193
id_102,id_1826
id_102,id_1434
id_2415,id_102
id_972,id_1508
id_972,id_2229
id_972,id_1193
id_972,id_1826
id_1508,id_2229
id_1508,id_1193
id_1508,id_1826
id_2229,id_1193
id_2229,id_1826
id_1193,id_1826
id_1418,id_2255
id_1418,id_1196
id_1418,id_2336
id_1418,id_691
id_1418,id_1328
id_1433,id_1418
id_2255,id_1196
id_2255,id_2336
id_2255,id_691
id_2255,id_1328
id_1433,id_2255
id_1196,id_2336
id_1196,id_691
id_1196,id_1328
id_1433,id_1196
id_2336,id_691
id_2336,id_1328
id_1433,id_2336
id_1433,id_1328
id_223,id_1645
id_652,id_1901
id_2448,id_1658
id_711,id_862
id_711,id_727
id_2519,id_1136
id_2326,id_2519
id_2032,id_2020
id_581,id_2020
id_2020,id_1194
id_2020,id_2339
id_2020,id_1960
id_2020,id_496
id_1784,id_2020
id_1067,id_1831
id_1067,id_226
id_877,id_2360
id_1107,id_1975
id_1107,id_477
id_726,id_420
id_420,id_1730
id_293,id_293
id_1544,id_2047
id_2047,id_2286
id_2047,id_399
id_1005,id_2047
id_1544,id_2286
id_1544,id_399
id_1005,id_1544
id_2286,id_399
id_1005,id_2286
id_1246,id_1397
id_1246,id_135
id_399,id_1397
id_1005,id_399
id_399,id_524
id_25,id_685
id_711,id_25
id_1940,id_1940
id_1533,id_187
id_187,id_2216
id_1244,id_13
id_1244,id_1431
id_101,id_2521
id_1930,id_1324
id_1930,id_1597
id_1930,id_1718
id_1930,id_291
id_1930,id_1340
id_1104,id_2022
id_1569,id_2471
id_1303,id_2471
id_1569,id_1303
id_659,id_1523
id_1505,id_1065
id_1985,id_1053
id_1823,id_1378
id_1295,id_84
id_2068,id_1503
id_1502,id_1189
id_1189,id_1558
id_905,id_203
id_2304,id_563
id_44,id_2057
id_442,id_442
id_2014,id_1092
id_2014,id_1654
id_1323,id_2521
id_1088,id_2521
id_44,id_44
id_44,id_214
id_44,id_168
id_1135,id_1903
id_2262,id_1903
id_1462,id_537
id_1462,id_539
id_1462,id_559
id_26,id_1462
id_868,id_809
id_1616,id_868
id_20,id_1197
id_675,id_2171
id_354,id_1587
id_354,id_256
id_354,id_1995
id_1040,id_241
id_1040,id_1040
id_1995,id_1040
id_1040,id_2258
id_1040,id_577
id_1995,id_1682
id_1446,id_2136
id_738,id_2136
id_2374,id_1923
id_1923,id_1473
id_1446,id_1473
id_1446,id_2374
id_1629,id_1467
id_1467,id_1247
id_439,id_1467
id_1467,id_1283
id_1467,id_878
id_937,id_1629
id_937,id_522
id_978,id_1629
id_978,id_2209
id_1629,id_1793
id_978,id_1793
id_1467,id_1793
id_1793,id_522
id_1629,id_1247
id_356,id_1247
id_1247,id_734
id_1629,id_734
id_734,id_522
id_734,id_1774
id_356,id_522
id_356,id_1774
id_1629,id_1798
id_1890,id_1890
id_1650,id_2145
id_661,id_2145
id_108,id_1805
id_108,id_1351
id_1207,id_1986
id_951,id_350
id_951,id_1997
id_951,id_1311
id_951,id_2233
id_1805,id_2184
id_404,id_1665
id_1443,id_404
id_568,id_404
id_2415,id_1781
id_1836,id_1805
id_1836,id_1022
id_1836,id_1079
id_1836,id_1322
id_162,id_2007
id_2278,id_2035
id_1443,id_1665
id_1443,id_1443
id_1443,id_1524
id_1823,id_1760
id_1823,id_1997
id_1823,id_582
id_1823,id_2080
id_1808,id_2212
id_703,id_1885
id_1443,id_1805
id_1805,id_537
id_268,id_616
id_1277,id_616
id_1667,id_2042
id_1173,id_1667
id_404,id_2198
id_1443,id_2198
id_2198,id_1805
id_2198,id_803
id_2198,id_2278
id_416,id_2198
id_2198,id_343
id_2198,id_1864
id_2198,id_2415
id_1443,id_2278
id_1805,id_2278
id_416,id_2278
id_343,id_2278
id_2278,id_1864
id_2415,id_2278
id_1635,id_1388
id_1388,id_306
id_1388,id_879
id_49,id_1388
id_1173,id_743
id_1635,id_661
id_661,id_646
id_661,id_1195
id_857,id_670
id_857,id_1704
id_857,id_1934
id_1533,id_1330
id_1330,id_1805
id_711,id_1345
id_2137,id_1207
id_1100,id_298
id_2285,id_1085
id_1713,id_2285
id_2285,id_529
id_1096,id_327
id_1096,id_65
id_1453,id_1100
id_2524,id_1100
id_198,id_1100
id_1100,id_4
id_1100,id_2071
id_428,id_200
id_536,id_2189
id_65,id_2189
id_1713,id_702
id_630,id_94
id_630,id_634
id_693,id_65
id_1903,id_2317
id_1795,id_474
id_190,id_1805
id_190,id_2278
id_927,id_288
id_927,id_1292
id_927,id_927
id_1267,id_1267
id_2456,id_2358
id_1713,id_2358
id_2358,id_596
id_404,id_1378
id_1635,id_252
id_1635,id_1635
id_1635,id_623
id_1635,id_1743
id_1635,id_1555
id_1635,id_1169
id_1635,id_54
id_1635,id_1173
id_1323,id_2470
id_2470,id_908
id_2015,id_704
id_2326,id_750
id_2326,id_359
id_2326,id_2240
id_1940,id_1805
id_1940,id_1173
id_1940,id_1351
id_1940,id_49
id_600,id_2135
id_1635,id_600
id_2135,id_593
id_1635,id_593
id_907,id_2135
id_1635,id_907
id_2135,id_554
id_1635,id_2517
id_2135,id_2441
id_1635,id_676
id_1635,id_1069
id_1635,id_1201
id_1635,id_1462
id_1635,id_1984
id_1635,id_1593
id_1635,id_2486
id_1635,id_471
id_1635,id_1454
id_1635,id_406
id_1635,id_2021
id_1635,id_1386
id_1635,id_2407
id_1760,id_548
id_737,id_548
id_1408,id_548
id_2461,id_548
id_1653,id_548
id_1173,id_548
id_866,id_548
id_1207,id_841
id_1978,id_1832
id_1635,id_219
id_1635,id_923
id_1635,id_1368
id_1635,id_1206
id_1635,id_506
id_2135,id_1173
id_661,id_2135
id_1173,id_1997
id_2135,id_1169
id_1932,id_209
id_2415,id_1805
id_2415,id_231
id_2415,id_717
id_373,id_2415
id_2415,id_1864
id_2415,id_2415
id_2448,id_441
id_441,id_1078
id_441,id_2459
id_441,id_1206
id_441,id_1420
id_441,id_1311
id_441,id_1698
id_441,id_2242
id_441,id_1753
id_441,id_1046
id_441,id_577
id_337,id_441
id_1528,id_441
id_441,id_1865
id_441,id_254
id_441,id_1052
id_441,id_1269
id_441,id_815
id_441,id_1438
id_441,id_1098
id_1798,id_441
id_683,id_683
id_683,id_903
id_683,id_431
id_1091,id_1091
id_1091,id_903
id_1667,id_1667
id_57,id_57
id_57,id_246
id_57,id_2259
id_1449,id_1449
id_411,id_903
id_1947,id_2488
id_683,id_938
id_683,id_2510
id_903,id_2510
id_2510,id_2510
id_2510,id_1535
id_1665,id_281
id_431,id_1535
id_1227,id_1459
id_501,id_1947
id_1358,id_1947
id_81,id_1785
id_1785,id_2215
id_2284,id_1785
id_2415,id_1434
id_953,id_560
id_753,id_560
id_565,id_560
id_560,id_1775
id_753,id_1775
id_953,id_1775
id_565,id_1775
id_753,id_953
id_1024,id_953
id_1487,id_587
id_1254,id_587
id_737,id_737
id_559,id_589
id_191,id_2367
id_2306,id_286
id_1074,id_1006
id_1262,id_705
id_2179,id_971
id_1986,id_88
id_1003,id_1006
id_1552,id_1523
id_189,id_678
id_2296,id_755
id_1552,id_289
id_587,id_289
id_2421,id_2421
id_2275,id_1185
id_1592,id_2069
id_1592,id_2499
id_2259,id_1788
id_1860,id_1277
id_661,id_1837
id_1886,id_2029
id_265,id_620
id_2080,id_605
id_240,id_840
id_1476,id_1224
id_1701,id_1701
id_812,id_2321
id_2014,id_451
id_1795,id_2051
id_2155,id_1563
id_667,id_2293
id_998,id_1590
id_280,id_1694
id_2434,id_283
id_536,id_1186
id_1267,id_1487
id_1357,id_2332
id_1077,id_670
id_26,id_26
id_1780,id_769
id_2211,id_1567
id_2285,id_539
id_539,id_65
id_1186,id_539
id_539,id_2189
id_2129,id_539
id_537,id_539
id_617,id_539
id_1924,id_539
id_2264,id_539
id_604,id_539
id_673,id_539
id_539,id_671
id_929,id_539
id_1246,id_539
id_539,id_2217
id_539,id_482
id_2415,id_145
id_2204,id_1942
id_509,id_209
id_209,id_2183
id_432,id_209
id_209,id_575
id_209,id_2364
id_451,id_955
id_1087,id_274
id_1087,id_1087
id_1829,id_1818
id_2058,id_6
id_1675,id_1675
id_2017,id_154
id_2017,id_1570
id_2017,id_1606
id_1886,id_1544
id_1167,id_350
id_2183,id_2183
id_1104,id_215
id_1527,id_882
id_386,id_2419
id_1761,id_1679
id_608,id_1778
id_2072,id_1910
id_840,id_216
id_1731,id_1731
id_1732,id_2045
id_623,id_1478
id_1997,id_743
id_2507,id_1044
id_1919,id_570
id_537,id_482
id_2129,id_482
id_1941,id_1087
id_1941,id_670
id_1022,id_801
id_2365,id_2515
id_1622,id_1622
id_1539,id_2473
id_559,id_470
id_922,id_922
id_313,id_179
id_658,id_313
id_313,id_744
id_313,id_948
id_313,id_2372
id_313,id_297
id_313,id_2455
id_319,id_414
id_2433,id_238
id_1492,id_2429
id_1809,id_690
id_1545,id_2525
id_1344,id_1102
id_1084,id_530
id_530,id_871
id_530,id_1881
id_362,id_514
id_1704,id_575
id_383,id_537
id_143,id_1574
id_2181,id_408
id_1774,id_1266
id_1408,id_492
id_673,id_740
id_1636,id_2319
id_2307,id_2297
id_1498,id_2307
id_2307,id_1834
id_1881,id_2394
id_2434,id_158
id_1539,id_1700
id_1023,id_749
id_1094,id_2095
id_1095,id_500
id_612,id_378
id_1388,id_2078
id_2140,id_1653
id_1769,id_1731
id_1444,id_1087
id_1620,id_1576
id_1734,id_1376
id_586,id_1295
id_1547,id_1547
id_1553,id_1035
id_534,id_1246
id_534,id_604
id_534,id_617
id_534,id_1186
id_405,id_634
id_2065,id_433
id_441,id_537
id_2106,id_1103
id_2030,id_1743
id_2072,id_2279
id_25,id_1951
id_280,id_1912
id_2309,id_549
id_1443,id_2061
id_1448,id_1748
id_1448,id_2189
id_1419,id_274
id_1172,id_472
id_638,id_884
id_1639,id_2520
id_280,id_1693
id_2170,id_386
id_2227,id_1423
id_2227,id_1771
id_2227,id_2227
id_2227,id_2415
id_101,id_2415
id_1244,id_2415
id_409,id_1181
id_409,id_409
id_858,id_1067
id_1067,id_337
id_858,id_909
id_2108,id_1818
id_2173,id_209
id_209,id_1168
id_1015,id_1168
id_743,id_2215
id_743,id_743
id_1835,id_743
id_2325,id_1785
id_342,id_2325
id_1665,id_2325
id_1443,id_2325
id_1520,id_686
id_1520,id_957
id_1520,id_204
id_1520,id_81
id_1244,id_1434
id_2200,id_630
id_2200,id_1118
id_708,id_1118
id_2200,id_708
id_2200,id_1138
id_1130,id_2200
id_1648,id_1734
id_1267,id_284
id_1267,id_1948
id_1948,id_1948
id_1267,id_390
id_284,id_390
id_1948,id_390
id_2346,id_690
id_612,id_1087
id_612,id_18
id_1978,id_1978
id_275,id_341
id_1808,id_1056
id_382,id_2155
id_1040,id_1259
id_1860,id_1520
id_1652,id_1649
id_1137,id_2099
id_1199,id_2369
id_858,id_2188
id_858,id_1527
id_858,id_2095
id_1433,id_1651
id_1651,id_1328
id_1651,id_691
id_1651,id_1418
